customer_id,snapshot_month,converted_next_3m,responsible_credit_behaviour_6m,observed_product_id,synthetic_p_conversion_true,synthetic_p_responsible_true
C000063,2024-01-31,0,1,NONE,0.2322,0.79413
C000064,2024-01-31,0,1,NONE,0.15828,0.91293
C000065,2024-01-31,1,0,P001,0.10452,0.8808
C000066,2024-01-31,0,1,NONE,0.21039,0.8808
C000067,2024-01-31,0,1,NONE,0.06522,0.8808
C000068,2024-01-31,0,0,NONE,0.04132,0.71095
C000069,2024-01-31,0,1,NONE,0.06862,0.78583
C000070,2024-01-31,0,0,NONE,0.07143,0.83889
C000071,2024-01-31,0,1,NONE,0.08496,0.76852
C000072,2024-01-31,0,1,NONE,0.09747,0.83889
C000073,2024-01-31,0,1,NONE,0.30294,0.89567
C000074,2024-01-31,0,1,NONE,0.05124,0.83889
C000075,2024-01-31,0,1,NONE,0.19233,0.63414
C000076,2024-01-31,0,0,NONE,0.05508,0.61064
C000077,2024-01-31,0,1,NONE,0.05675,0.76852
C000078,2024-01-31,0,1,NONE,0.11207,0.8808
C000079,2024-01-31,0,1,NONE,0.10263,0.82491
C000080,2024-01-31,0,0,NONE,0.10949,0.86989
C000081,2024-01-31,0,1,NONE,0.07983,0.8808
C000082,2024-01-31,0,1,NONE,0.07146,0.83889
C000083,2024-01-31,0,1,NONE,0.10083,0.91293
C000084,2024-01-31,0,0,NONE,0.03479,0.76852
C000085,2024-01-31,1,1,P002,0.06543,0.78583
C000086,2024-01-31,0,0,NONE,0.04103,0.70057
C000087,2024-01-31,0,1,NONE,0.20186,0.8808
C000088,2024-01-31,0,1,NONE,0.07511,0.82491
C000089,2024-01-31,0,0,NONE,0.07319,0.61064
C000090,2024-01-31,0,1,NONE,0.06646,0.85815
C000091,2024-01-31,0,1,NONE,0.04281,0.78583
C000092,2024-01-31,0,1,NONE,0.05879,0.82491
C000093,2024-01-31,0,0,NONE,0.2803,0.82491
C000094,2024-01-31,0,0,NONE,0.09979,0.76852
C000095,2024-01-31,0,0,NONE,0.04912,0.71095
C000096,2024-01-31,0,1,NONE,0.09248,0.82491
C000097,2024-01-31,0,1,NONE,0.04588,0.83889
C000098,2024-01-31,0,1,NONE,0.08376,0.70057
C000099,2024-01-31,0,1,NONE,0.06913,0.70057
C000100,2024-01-31,0,1,NONE,0.09271,0.93703
C000101,2024-01-31,0,0,NONE,0.09895,0.86989
C000102,2024-01-31,0,1,NONE,0.17936,0.82491
C000103,2024-01-31,0,0,NONE,0.08098,0.83889
C000104,2024-01-31,0,1,NONE,0.10254,0.93703
C000105,2024-01-31,0,1,NONE,0.06903,0.86989
C000106,2024-01-31,0,0,NONE,0.13744,0.82491
C000107,2024-01-31,0,1,NONE,0.16314,0.8808
C000108,2024-01-31,0,1,NONE,0.05559,0.76852
C000109,2024-01-31,0,1,NONE,0.0453,0.70057
C000110,2024-01-31,0,1,NONE,0.09334,0.91293
C000111,2024-01-31,0,1,NONE,0.05563,0.8808
C000112,2024-01-31,0,0,NONE,0.02413,0.61064
C000113,2024-01-31,0,0,NONE,0.08708,0.76852
C000114,2024-01-31,0,1,NONE,0.05707,0.8808
C000115,2024-01-31,0,1,NONE,0.11358,0.83889
C000116,2024-01-31,0,1,NONE,0.0552,0.86989
C000117,2024-01-31,0,1,NONE,0.091,0.83202
C000118,2024-01-31,0,1,NONE,0.04942,0.82491
C000119,2024-01-31,0,1,NONE,0.12566,0.76852
C000120,2024-01-31,0,1,NONE,0.07619,0.82491
C000121,2024-01-31,0,1,NONE,0.06055,0.8808
C000122,2024-01-31,0,1,NONE,0.06879,0.68997
C000123,2024-01-31,0,1,NONE,0.07664,0.70057
C000124,2024-01-31,0,0,NONE,0.21816,0.76852
C000125,2024-01-31,0,1,NONE,0.04342,0.78583
C000126,2024-01-31,1,1,P001,0.19677,0.68997
C000127,2024-01-31,0,1,NONE,0.06963,0.83889
C000128,2024-01-31,0,0,NONE,0.04771,0.52498
C000129,2024-01-31,1,1,P001,0.18433,0.78583
C000130,2024-01-31,0,0,NONE,0.06879,0.82491
C000131,2024-01-31,0,0,NONE,0.09866,0.71095
C000132,2024-01-31,0,1,NONE,0.10324,0.83202
C000133,2024-01-31,0,0,NONE,0.0557,0.82491
C000134,2024-01-31,0,1,NONE,0.0737,0.83889
C000135,2024-01-31,0,1,NONE,0.2305,0.8808
C000136,2024-01-31,0,0,NONE,0.08068,0.70057
C000137,2024-01-31,0,1,NONE,0.101,0.93703
C000138,2024-01-31,0,1,NONE,0.05689,0.8808
C000139,2024-01-31,0,1,NONE,0.10875,0.86989
C000140,2024-01-31,0,0,NONE,0.04877,0.63414
C000141,2024-01-31,1,1,P004,0.04454,0.8808
C000142,2024-01-31,0,1,NONE,0.08427,0.82491
C000143,2024-01-31,0,1,NONE,0.06599,0.90465
C000144,2024-01-31,1,1,P003,0.0639,0.8808
C000145,2024-01-31,0,1,NONE,0.15636,0.8808
C000146,2024-01-31,0,1,NONE,0.04705,0.61064
C000147,2024-01-31,0,1,NONE,0.09173,0.83889
C000148,2024-01-31,0,1,NONE,0.08785,0.68997
C000149,2024-01-31,0,0,NONE,0.07187,0.76852
C000150,2024-01-31,0,1,NONE,0.05859,0.52498
C000151,2024-01-31,0,1,NONE,0.26088,0.86989
C000152,2024-01-31,1,1,P002,0.06958,0.86989
C000153,2024-01-31,0,0,NONE,0.06349,0.78583
C000154,2024-01-31,0,1,NONE,0.04661,0.7773
C000155,2024-01-31,0,0,NONE,0.03471,0.52498
C000156,2024-01-31,0,1,NONE,0.06485,0.8808
C000157,2024-01-31,0,1,NONE,0.17639,0.83889
C000158,2024-01-31,0,1,NONE,0.083,0.8808
C000159,2024-01-31,0,1,NONE,0.09138,0.82491
C000160,2024-01-31,0,1,NONE,0.15824,0.91293
C000161,2024-01-31,0,0,NONE,0.03924,0.70057
C000162,2024-01-31,0,1,NONE,0.06289,0.86989
C000163,2024-01-31,0,1,NONE,0.0483,0.76852
C000164,2024-01-31,0,1,NONE,0.0834,0.78583
C000165,2024-01-31,0,1,NONE,0.05301,0.8808
C000166,2024-01-31,0,1,NONE,0.06298,0.83889
C000167,2024-01-31,0,1,NONE,0.03737,0.83202
C000168,2024-01-31,0,0,NONE,0.06088,0.86989
C000169,2024-01-31,0,1,NONE,0.08239,0.76852
C000170,2024-01-31,0,1,NONE,0.10485,0.90465
C000171,2024-01-31,0,1,NONE,0.05453,0.76852
C000172,2024-01-31,0,1,NONE,0.04026,0.8808
C000173,2024-01-31,0,1,NONE,0.10543,0.76852
C000174,2024-01-31,0,0,NONE,0.04716,0.93703
C000175,2024-01-31,0,1,NONE,0.04974,0.83889
C000176,2024-01-31,1,1,P003,0.19061,0.52498
C000177,2024-01-31,0,0,NONE,0.05152,0.83889
C000178,2024-01-31,0,1,NONE,0.05636,0.93703
C000179,2024-01-31,0,1,NONE,0.21363,0.86989
C000180,2024-01-31,0,0,NONE,0.04639,0.7773
C000181,2024-01-31,0,1,NONE,0.08946,0.86989
C000182,2024-01-31,0,1,NONE,0.07846,0.91293
C000183,2024-01-31,0,1,NONE,0.09346,0.8808
C000184,2024-01-31,0,1,NONE,0.14129,0.83889
C000185,2024-01-31,0,1,NONE,0.06982,0.91293
C000186,2024-01-31,0,0,NONE,0.12582,0.8808
C000187,2024-01-31,0,1,NONE,0.08356,0.83889
C000188,2024-01-31,0,1,NONE,0.15231,0.78583
C000189,2024-01-31,0,1,NONE,0.07045,0.82491
C000190,2024-01-31,0,0,NONE,0.07077,0.61064
C000191,2024-01-31,0,1,NONE,0.08128,0.93703
C000192,2024-01-31,0,1,NONE,0.02806,0.71095
C000193,2024-01-31,0,1,NONE,0.03047,0.78583
C000194,2024-01-31,0,1,NONE,0.0727,0.75951
C000195,2024-01-31,0,1,NONE,0.16444,0.78583
C000196,2024-01-31,0,1,NONE,0.03397,0.83889
C000197,2024-01-31,1,1,P003,0.08101,0.79413
C000198,2024-01-31,0,0,NONE,0.10823,0.83202
C000199,2024-01-31,0,1,NONE,0.05413,0.61064
C000200,2024-01-31,0,1,NONE,0.03824,0.61064
C000201,2024-01-31,0,1,NONE,0.07878,0.91293
C000202,2024-01-31,0,1,NONE,0.09599,0.93703
C000203,2024-01-31,0,1,NONE,0.16076,0.82491
C000204,2024-01-31,0,1,NONE,0.05862,0.70057
C000205,2024-01-31,0,1,NONE,0.04331,0.63414
C000206,2024-01-31,0,1,NONE,0.05425,0.83889
C000207,2024-01-31,0,1,NONE,0.06318,0.78583
C000208,2024-01-31,0,1,NONE,0.05577,0.68997
C000209,2024-01-31,0,1,NONE,0.1066,0.70057
C000210,2024-01-31,0,1,NONE,0.06907,0.82491
C000211,2024-01-31,0,1,NONE,0.0566,0.8808
C000212,2024-01-31,0,1,NONE,0.09024,0.82491
C000213,2024-01-31,0,1,NONE,0.15792,0.83889
C000214,2024-01-31,0,1,NONE,0.12757,0.91293
C000215,2024-01-31,0,1,NONE,0.25663,0.82491
C000216,2024-01-31,0,1,NONE,0.06858,0.8808
C000217,2024-01-31,0,0,NONE,0.06412,0.52498
C000218,2024-01-31,0,0,NONE,0.04637,0.78583
C000219,2024-01-31,0,1,NONE,0.04741,0.86989
C000220,2024-01-31,0,1,NONE,0.08439,0.83889
C000221,2024-01-31,0,1,NONE,0.07293,0.83889
C000222,2024-01-31,0,1,NONE,0.10444,0.8808
C000223,2024-01-31,0,1,NONE,0.09658,0.82491
C000224,2024-01-31,0,1,NONE,0.17917,0.93703
C000225,2024-01-31,0,1,NONE,0.08323,0.83889
C000226,2024-01-31,0,1,NONE,0.12561,0.91293
C000227,2024-01-31,0,0,NONE,0.02995,0.78583
C000228,2024-01-31,0,1,NONE,0.05006,0.82491
C000229,2024-01-31,0,1,NONE,0.14755,0.8808
C000230,2024-01-31,0,1,NONE,0.07722,0.78583
C000231,2024-01-31,0,1,NONE,0.05459,0.78583
C000232,2024-01-31,0,1,NONE,0.09861,0.61064
C000233,2024-01-31,0,1,NONE,0.14653,0.93703
C000234,2024-01-31,0,0,NONE,0.09862,0.82491
C000235,2024-01-31,0,1,NONE,0.14581,0.90465
C000236,2024-01-31,0,1,NONE,0.06627,0.86989
C000237,2024-01-31,0,1,NONE,0.13355,0.7773
C000238,2024-01-31,0,1,NONE,0.08284,0.91293
C000239,2024-01-31,0,1,NONE,0.03988,0.63414
C000240,2024-01-31,0,1,NONE,0.04893,0.78583
C000241,2024-01-31,1,1,P001,0.06987,0.86989
C000242,2024-01-31,0,1,NONE,0.20712,0.91293
C000243,2024-01-31,0,0,NONE,0.04012,0.61064
C000244,2024-01-31,0,1,NONE,0.04051,0.68997
C000245,2024-01-31,0,1,NONE,0.17096,0.8808
C000246,2024-01-31,0,1,NONE,0.04835,0.86989
C000247,2024-01-31,0,0,NONE,0.05468,0.82491
C000248,2024-01-31,0,1,NONE,0.0651,0.76852
C000249,2024-01-31,0,0,NONE,0.05673,0.83889
C000250,2024-01-31,0,1,NONE,0.08965,0.71095
C000251,2024-01-31,0,1,NONE,0.05641,0.8808
C000252,2024-01-31,0,1,NONE,0.07166,0.91293
C000253,2024-01-31,0,1,NONE,0.05773,0.7773
C000254,2024-01-31,0,1,NONE,0.08036,0.83889
C000255,2024-01-31,0,1,NONE,0.14104,0.83889
C000256,2024-01-31,0,1,NONE,0.05192,0.8808
C000257,2024-01-31,0,1,NONE,0.14315,0.91293
C000258,2024-01-31,0,1,NONE,0.03536,0.52498
C000259,2024-01-31,0,0,NONE,0.03589,0.63414
C000260,2024-01-31,0,0,NONE,0.06406,0.8808
C000261,2024-01-31,0,0,NONE,0.06781,0.63414
C000262,2024-01-31,0,1,NONE,0.04662,0.75951
C000263,2024-01-31,0,1,NONE,0.11351,0.83889
C000264,2024-01-31,0,0,NONE,0.0473,0.33181
C000265,2024-01-31,0,1,NONE,0.07017,0.84553
C000266,2024-01-31,0,0,NONE,0.06742,0.76852
C000267,2024-01-31,0,1,NONE,0.12182,0.83889
C000268,2024-01-31,0,0,NONE,0.03863,0.52498
C000269,2024-01-31,0,1,NONE,0.06882,0.70057
C000270,2024-01-31,0,0,NONE,0.03002,0.78583
C000271,2024-01-31,0,0,NONE,0.05545,0.78583
C000272,2024-01-31,0,1,NONE,0.06502,0.76852
C000273,2024-01-31,0,0,NONE,0.08351,0.78583
C000274,2024-01-31,0,1,NONE,0.04762,0.68997
C000275,2024-01-31,0,0,NONE,0.04465,0.8808
C000276,2024-01-31,0,1,NONE,0.07078,0.83889
C000277,2024-01-31,0,0,NONE,0.13126,0.83889
C000278,2024-01-31,0,1,NONE,0.05619,0.82491
C000279,2024-01-31,0,1,NONE,0.06052,0.86989
C000280,2024-01-31,0,1,NONE,0.08631,0.91293
C000281,2024-01-31,0,0,NONE,0.07859,0.52498
C000282,2024-01-31,1,1,P004,0.02693,0.71095
C000283,2024-01-31,0,1,NONE,0.0471,0.61064
C000284,2024-01-31,0,1,NONE,0.04969,0.83889
C000285,2024-01-31,0,1,NONE,0.0655,0.8808
C000286,2024-01-31,0,1,NONE,0.04246,0.52498
C000287,2024-01-31,0,1,NONE,0.0594,0.70057
C000288,2024-01-31,0,1,NONE,0.09363,0.71095
C000289,2024-01-31,0,1,NONE,0.13139,0.8808
C000290,2024-01-31,0,0,NONE,0.07658,0.78583
C000291,2024-01-31,0,1,NONE,0.07398,0.91293
C000292,2024-01-31,0,1,NONE,0.06781,0.78583
C000293,2024-01-31,0,1,NONE,0.05774,0.91293
C000294,2024-01-31,0,1,NONE,0.05252,0.70057
C000295,2024-01-31,0,0,NONE,0.06009,0.86989
C000296,2024-01-31,0,0,NONE,0.15952,0.91293
C000297,2024-01-31,0,1,NONE,0.06599,0.90465
C000298,2024-01-31,0,1,NONE,0.07095,0.91293
C000299,2024-01-31,0,1,NONE,0.07514,0.91293
C000300,2024-01-31,0,1,NONE,0.11946,0.8808
C000301,2024-01-31,0,1,NONE,0.11902,0.86989
C000302,2024-01-31,0,1,NONE,0.07801,0.78583
C000303,2024-01-31,0,1,NONE,0.0535,0.68997
C000304,2024-01-31,0,1,NONE,0.12482,0.79413
C000305,2024-01-31,0,1,NONE,0.11582,0.89567
C000306,2024-01-31,0,1,NONE,0.0266,0.68997
C000307,2024-01-31,0,1,NONE,0.10569,0.81
C000308,2024-01-31,0,1,NONE,0.11424,0.8808
C000309,2024-01-31,0,0,NONE,0.09692,0.83889
C000310,2024-01-31,0,0,NONE,0.04381,0.65701
C000311,2024-01-31,0,1,NONE,0.04004,0.68997
C000312,2024-01-31,0,1,NONE,0.044,0.76852
C000313,2024-01-31,0,1,NONE,0.11243,0.83889
C000314,2024-01-31,0,1,NONE,0.06241,0.83889
C000315,2024-01-31,0,1,NONE,0.07852,0.83889
C000316,2024-01-31,0,1,NONE,0.08472,0.83889
C000317,2024-01-31,1,1,P002,0.09529,0.83889
C000318,2024-01-31,0,1,NONE,0.05702,0.68997
C000319,2024-01-31,0,1,NONE,0.06954,0.61064
C000320,2024-01-31,0,1,NONE,0.07584,0.90465
C000321,2024-01-31,1,1,P001,0.08507,0.86989
C000322,2024-01-31,0,1,NONE,0.07584,0.68997
C000323,2024-01-31,0,1,NONE,0.05649,0.71095
C000324,2024-01-31,0,1,NONE,0.17674,0.82491
C000325,2024-01-31,0,1,NONE,0.0752,0.91293
C000326,2024-01-31,0,1,NONE,0.07067,0.8808
C000327,2024-01-31,0,1,NONE,0.081,0.91293
C000328,2024-01-31,0,1,NONE,0.0674,0.82491
C000329,2024-01-31,0,1,NONE,0.09517,0.7773
C000330,2024-01-31,0,1,NONE,0.0859,0.61064
C000331,2024-01-31,0,1,NONE,0.06484,0.8808
C000332,2024-01-31,0,1,NONE,0.0558,0.83889
C000333,2024-01-31,0,1,NONE,0.10051,0.8808
C000334,2024-01-31,0,0,NONE,0.03592,0.83202
C000335,2024-01-31,0,1,NONE,0.05628,0.78583
C000336,2024-01-31,0,0,NONE,0.07012,0.7773
C000337,2024-01-31,0,0,NONE,0.01754,0.33181
C000338,2024-01-31,0,1,NONE,0.12525,0.8808
C000339,2024-01-31,0,0,NONE,0.05187,0.78583
C000340,2024-01-31,0,1,NONE,0.08755,0.93703
C000341,2024-01-31,0,0,NONE,0.08555,0.52498
C000342,2024-01-31,0,1,NONE,0.07924,0.93703
C000343,2024-01-31,0,1,NONE,0.28545,0.86989
C000344,2024-01-31,0,1,NONE,0.08955,0.8808
C000345,2024-01-31,0,1,NONE,0.0544,0.91293
C000346,2024-01-31,0,1,NONE,0.05428,0.86989
C000347,2024-01-31,0,1,NONE,0.0715,0.93703
C000348,2024-01-31,0,1,NONE,0.07668,0.83889
C000349,2024-01-31,0,0,NONE,0.04226,0.68997
C000350,2024-01-31,0,1,NONE,0.05394,0.63414
C000351,2024-01-31,0,1,NONE,0.05236,0.82491
C000352,2024-01-31,0,1,NONE,0.24915,0.76852
C000353,2024-01-31,0,1,NONE,0.15289,0.8808
C000354,2024-01-31,0,1,NONE,0.03557,0.79413
C000355,2024-01-31,1,1,P001,0.09178,0.82491
C000356,2024-01-31,0,1,NONE,0.06854,0.8808
C000357,2024-01-31,0,1,NONE,0.17802,0.91293
C000358,2024-01-31,1,1,P001,0.0896,0.91293
C000359,2024-01-31,0,1,NONE,0.08728,0.8808
C000360,2024-01-31,0,0,NONE,0.06256,0.82491
C000361,2024-01-31,0,1,NONE,0.08428,0.87545
C000362,2024-01-31,0,1,NONE,0.09249,0.78583
C000363,2024-01-31,0,0,NONE,0.09308,0.52498
C000364,2024-01-31,0,1,NONE,0.04958,0.78583
C000365,2024-01-31,0,1,NONE,0.039,0.8808
C000366,2024-01-31,0,1,NONE,0.06204,0.83889
C000367,2024-01-31,0,1,NONE,0.09378,0.91293
C000368,2024-01-31,0,1,NONE,0.07899,0.8808
C000369,2024-01-31,0,1,NONE,0.05256,0.76852
C000370,2024-01-31,0,1,NONE,0.12076,0.86989
C000371,2024-01-31,0,1,NONE,0.13105,0.91293
C000372,2024-01-31,0,1,NONE,0.05835,0.76852
C000373,2024-01-31,0,1,NONE,0.1907,0.83889
C000374,2024-01-31,0,1,NONE,0.11171,0.83889
C000375,2024-01-31,0,1,NONE,0.03608,0.70057
C000376,2024-01-31,0,0,NONE,0.04235,0.52498
C000377,2024-01-31,0,1,NONE,0.19395,0.90465
C000378,2024-01-31,0,1,NONE,0.06617,0.83889
C000379,2024-01-31,0,1,NONE,0.04932,0.76852
C000380,2024-01-31,0,1,NONE,0.07828,0.82491
C000381,2024-01-31,0,1,NONE,0.09012,0.82491
C000382,2024-01-31,0,1,NONE,0.1566,0.85195
C000383,2024-01-31,0,1,NONE,0.03917,0.86989
C000384,2024-01-31,0,1,NONE,0.10682,0.82491
C000385,2024-01-31,0,0,NONE,0.05426,0.76852
C000386,2024-01-31,0,1,NONE,0.08072,0.93703
C000387,2024-01-31,1,1,P003,0.12275,0.8808
C000388,2024-01-31,0,0,NONE,0.14308,0.93703
C000389,2024-01-31,1,1,P002,0.0904,0.78583
C000390,2024-01-31,0,1,NONE,0.09958,0.91293
C000391,2024-01-31,0,1,NONE,0.0981,0.82491
C000392,2024-01-31,0,1,NONE,0.06035,0.70057
C000393,2024-01-31,0,0,NONE,0.07033,0.7773
C000394,2024-01-31,0,1,NONE,0.04167,0.7773
C000395,2024-01-31,0,1,NONE,0.04599,0.78583
C000396,2024-01-31,0,1,NONE,0.10952,0.82491
C000397,2024-01-31,0,1,NONE,0.06625,0.68997
C000398,2024-01-31,0,1,NONE,0.0731,0.83889
C000399,2024-01-31,0,1,NONE,0.05867,0.82491
C000400,2024-01-31,0,1,NONE,0.15004,0.82491
C000401,2024-01-31,0,0,NONE,0.06982,0.61064
C000402,2024-01-31,0,0,NONE,0.04309,0.83202
C000403,2024-01-31,0,1,NONE,0.09862,0.86989
C000404,2024-01-31,0,1,NONE,0.24252,0.70057
C000405,2024-01-31,0,1,NONE,0.13213,0.93703
C000406,2024-01-31,0,1,NONE,0.10056,0.91293
C000407,2024-01-31,0,1,NONE,0.05314,0.83889
C000408,2024-01-31,1,1,P001,0.09024,0.91293
C000409,2024-01-31,0,0,NONE,0.0634,0.52498
C000410,2024-01-31,1,1,P002,0.09787,0.93703
C000411,2024-01-31,0,1,NONE,0.04746,0.8808
C000412,2024-01-31,0,1,NONE,0.14663,0.8808
C000413,2024-01-31,0,0,NONE,0.04592,0.63414
C000414,2024-01-31,0,0,NONE,0.06294,0.91293
C000415,2024-01-31,1,1,P001,0.2321,0.70057
C000416,2024-01-31,0,1,NONE,0.05738,0.71095
C000417,2024-01-31,0,1,NONE,0.0507,0.63414
C000418,2024-01-31,0,1,NONE,0.10909,0.86989
C000419,2024-01-31,0,0,NONE,0.0323,0.76852
C000420,2024-01-31,0,1,NONE,0.11968,0.91293
C000421,2024-01-31,0,1,NONE,0.09295,0.7773
C000422,2024-01-31,0,0,NONE,0.08342,0.52498
C000423,2024-01-31,0,0,NONE,0.06878,0.63414
C000424,2024-01-31,0,1,NONE,0.03737,0.52498
C000425,2024-01-31,0,0,NONE,0.06928,0.68997
C000426,2024-01-31,0,1,NONE,0.07022,0.75951
C000427,2024-01-31,0,0,NONE,0.02187,0.52498
C000428,2024-01-31,0,0,NONE,0.06629,0.86989
C000429,2024-01-31,0,0,NONE,0.14303,0.70057
C000430,2024-01-31,0,1,NONE,0.12641,0.75951
C000431,2024-01-31,0,1,NONE,0.07177,0.86989
C000432,2024-01-31,1,1,P002,0.38858,0.89567
C000433,2024-01-31,0,1,NONE,0.09852,0.8808
C000434,2024-01-31,0,1,NONE,0.03917,0.80218
C000435,2024-01-31,0,1,NONE,0.05053,0.78583
C000436,2024-01-31,0,0,NONE,0.17478,0.83889
C000437,2024-01-31,0,1,NONE,0.07536,0.70057
C000438,2024-01-31,0,1,NONE,0.03048,0.74077
C000439,2024-01-31,0,1,NONE,0.19595,0.82491
C000440,2024-01-31,0,1,NONE,0.06603,0.82491
C000441,2024-01-31,0,1,NONE,0.06986,0.86989
C000442,2024-01-31,0,0,NONE,0.03214,0.63414
C000443,2024-01-31,0,1,NONE,0.06813,0.7773
C000444,2024-01-31,0,1,NONE,0.13481,0.76852
C000445,2024-01-31,0,1,NONE,0.0461,0.61064
C000446,2024-01-31,0,1,NONE,0.1466,0.8808
C000447,2024-01-31,0,1,NONE,0.07701,0.90465
C000448,2024-01-31,0,1,NONE,0.10539,0.82491
C000449,2024-01-31,0,0,NONE,0.06486,0.70057
C000450,2024-01-31,0,1,NONE,0.20507,0.8808
C000451,2024-01-31,0,0,NONE,0.02351,0.52498
C000452,2024-01-31,0,1,NONE,0.06531,0.91293
C000453,2024-01-31,0,0,NONE,0.06943,0.82491
C000454,2024-01-31,0,1,NONE,0.11588,0.83889
C000455,2024-01-31,0,1,NONE,0.04513,0.78583
C000456,2024-01-31,0,0,NONE,0.05942,0.76852
C000457,2024-01-31,0,1,NONE,0.30907,0.93703
C000458,2024-01-31,0,1,NONE,0.07103,0.8808
C000459,2024-01-31,1,1,P004,0.11572,0.83202
C000460,2024-01-31,0,1,NONE,0.03012,0.7773
C000461,2024-01-31,0,1,NONE,0.03534,0.68997
C000462,2024-01-31,0,0,NONE,0.07133,0.78583
C000463,2024-01-31,0,1,NONE,0.06076,0.93703
C000464,2024-01-31,0,1,NONE,0.10298,0.76852
C000465,2024-01-31,0,1,NONE,0.0508,0.7773
C000466,2024-01-31,0,1,NONE,0.08029,0.8808
C000467,2024-01-31,0,0,NONE,0.09607,0.7773
C000468,2024-01-31,0,1,NONE,0.09401,0.93703
C000469,2024-01-31,0,0,NONE,0.0284,0.63414
C000470,2024-01-31,0,1,NONE,0.11305,0.68997
C000471,2024-01-31,0,1,NONE,0.06775,0.76852
C000472,2024-01-31,0,1,NONE,0.05082,0.7773
C000473,2024-01-31,0,1,NONE,0.05752,0.70057
C000474,2024-01-31,0,1,NONE,0.05177,0.70057
C000475,2024-01-31,0,1,NONE,0.07378,0.76852
C000476,2024-01-31,0,1,NONE,0.04571,0.83889
C000477,2024-01-31,0,1,NONE,0.13149,0.83889
C000478,2024-01-31,0,1,NONE,0.08903,0.82491
C000479,2024-01-31,0,0,NONE,0.04236,0.7773
