customer_id,age,income_band,employment_type,region,tenure_months,digital_engagement_score,income_band_score,annual_income,customer_segment
C000042,31,Upper-middle,Salaried,London,61,0.20106150356964536,4,60051.0,High-value
C000043,30,Middle,Independent,London,122,0.6545706714887759,3,59594.0,Mass market
C000044,28,Lower-middle,Salaried,South East,149,0.45281396789675965,2,28816.0,Mass market
C000045,66,Upper-middle,Salaried,South West,159,0.3813567000106963,4,66466.0,High-value
C000046,43,Upper-middle,Salaried,London,16,0.5081220272746201,4,55002.0,High-value
C000047,50,Lower-middle,Contractor,London,74,0.3117680037417709,2,32570.0,Mass market
C000048,33,Lower-middle,Independent,Scotland,4,0.6303241782518471,2,31406.0,New customer
C000049,37,Middle,Salaried,South West,147,0.4774132670455807,3,47157.0,Mass market
C000050,30,Low,Independent,Midlands,24,0.3227409705621231,1,18619.0,Mass market
C000051,18,Lower-middle,Salaried,London,148,0.8281486931401769,2,32633.0,Digital-first
C000052,22,Low,Independent,South East,30,0.4167923129890032,1,21662.0,Mass market
C000053,18,Upper-middle,Contractor,London,5,0.6582175649555662,4,64808.0,New customer
C000054,18,Middle,Independent,London,158,0.631904304426103,3,41230.0,Mass market
C000055,25,Middle,Independent,South East,80,0.2220619704529917,3,48012.0,Mass market
C000056,55,Upper-middle,Salaried,Midlands,78,0.3127593363538239,4,53031.0,High-value
C000057,38,Middle,Salaried,South East,117,0.7668441043871925,3,37175.0,Digital-first
C000058,54,Middle,Contractor,Midlands,51,0.3452306576906496,3,41642.0,Mass market
C000059,44,Low,Independent,London,125,0.46506390147922577,1,12985.0,Mass market
C000060,48,Low,Salaried,South East,78,0.3032743536868729,1,20383.0,Mass market
C000061,28,Middle,Salaried,North West,51,0.5463193706899175,3,35529.0,Mass market
C000062,45,Middle,Salaried,South West,72,0.30372299874020114,3,38832.0,Mass market
C000063,48,Middle,Salaried,London,4,0.6464215745575155,3,40567.0,New customer
C000064,32,Upper-middle,Salaried,Midlands,56,0.5063216897359801,4,62390.0,High-value
C000065,46,Middle,Salaried,London,107,0.5434917879998332,3,39691.0,Mass market
C000066,46,Middle,Pensioner,London,27,0.6369193586475049,3,41547.0,Mass market
C000067,32,Middle,Salaried,North West,23,0.4672242584970812,3,41599.0,Mass market
C000068,26,Lower-middle,Salaried,London,119,0.36334310181074136,2,25997.0,Mass market
C000069,25,Low,Salaried,South East,78,0.1645741301583663,1,15773.0,Mass market
C000070,40,Lower-middle,Salaried,South East,27,0.6387258948862586,2,32845.0,Mass market
C000071,43,Lower-middle,Contractor,London,135,0.657174005143712,2,18572.0,Mass market
C000072,29,Lower-middle,Salaried,London,140,0.8183820347189834,2,27078.0,Digital-first
C000073,39,Upper-middle,Independent,South East,9,0.5501411310475727,4,57349.0,New customer
C000074,46,Lower-middle,Contractor,Scotland,38,0.22985242455632324,2,29876.0,Mass market
C000075,46,Low,Salaried,Midlands,68,0.7372715301633032,1,13812.0,Digital-first
C000076,58,Lower-middle,Independent,South East,132,0.3540379582538201,2,25761.0,Mature relationship
C000077,54,Lower-middle,Pensioner,London,16,0.31564565491088886,2,27541.0,Mass market
C000078,27,Middle,Salaried,Midlands,145,0.5407696378464498,3,49191.0,Mass market
C000079,59,Middle,Salaried,London,59,0.27014536104836817,3,44232.0,Mature relationship
C000080,33,Upper-middle,Contractor,Midlands,25,0.5519505836767387,4,50260.0,High-value
C000081,52,Middle,Contractor,North West,155,0.3580327910024851,3,38724.0,Mass market
C000082,40,Lower-middle,Salaried,South East,18,0.6898561443906212,2,31970.0,Digital-first
C000083,34,Upper-middle,Salaried,London,25,0.5762517086609678,4,50088.0,High-value
C000084,18,Lower-middle,Salaried,London,171,0.17549334739302244,2,27648.0,Mass market
C000085,37,Low,Contractor,London,94,0.621669756085673,1,17974.0,Mass market
C000086,20,Low,Salaried,South East,84,0.3630531215096177,1,16889.0,Mass market
C000087,51,Middle,Salaried,South West,124,0.86187137014394,3,60115.0,Digital-first
C000088,57,Middle,Independent,London,114,0.3643676404235092,3,39226.0,Mass market
C000089,29,Lower-middle,Pensioner,Midlands,111,0.5623595024898229,2,30015.0,Mass market
C000090,43,Middle,Contractor,North West,7,0.3880556793467804,3,36850.0,New customer
C000091,30,Low,Salaried,London,100,0.3953160290018746,1,19520.0,Mass market
C000092,31,Middle,Salaried,London,52,0.3865693466007593,3,47852.0,Mass market
C000093,48,Middle,Pensioner,London,145,0.7095052953847883,3,38049.0,Digital-first
C000094,39,Lower-middle,Pensioner,Midlands,92,0.37628639035241307,2,27755.0,Mass market
C000095,60,Lower-middle,Salaried,South East,24,0.2578474977774795,2,23989.0,Mature relationship
C000096,33,Middle,Independent,North West,159,0.5958314698185964,3,34310.0,Mass market
C000097,51,Lower-middle,Salaried,South West,53,0.32446489699586056,2,32645.0,Mass market
C000098,40,Low,Salaried,North West,51,0.6813708264219499,1,16404.0,Digital-first
C000099,49,Low,Salaried,Wales,168,0.5609914225469373,1,11049.0,Mass market
C000100,34,High,Salaried,North West,140,0.5349919795146406,5,121833.0,High-value
C000101,38,Upper-middle,Salaried,South West,155,0.5779309996797815,4,54043.0,High-value
C000102,38,Middle,Contractor,South West,120,0.7301842290849184,3,40344.0,Digital-first
C000103,29,Lower-middle,Salaried,North West,164,0.503544671410868,2,35351.0,Mass market
C000104,47,High,Salaried,South West,23,0.3587414150749948,5,92846.0,High-value
C000105,47,Upper-middle,Salaried,Scotland,109,0.6988799021327019,4,60380.0,Digital-first
C000106,46,Middle,Salaried,South East,54,0.5694051747256017,3,33747.0,Mass market
C000107,57,Middle,Salaried,Midlands,73,0.5156632951685228,3,31014.0,Mass market
C000108,56,Lower-middle,Salaried,South East,45,0.16106901167059987,2,27255.0,Mass market
C000109,35,Low,Salaried,South West,39,0.5749583668934327,1,19045.0,Mass market
C000110,43,Upper-middle,Independent,South East,81,0.4106382330111229,4,65031.0,High-value
C000111,32,Middle,Contractor,South West,165,0.0722350719652475,3,38766.0,Mass market
C000112,39,Lower-middle,Salaried,North West,115,0.03602325623794718,2,28091.0,Mass market
C000113,32,Lower-middle,Contractor,Wales,64,0.30781190746554304,2,19769.0,Mass market
C000114,58,Middle,Contractor,London,79,0.08005175674539784,3,45092.0,Mature relationship
C000115,43,Lower-middle,Contractor,North West,96,0.4516796330462569,2,28723.0,Mass market
C000116,36,Upper-middle,Independent,North West,46,0.17818770591920743,4,81579.0,High-value
C000117,53,Upper-middle,Independent,Scotland,95,0.34398723308135043,4,62074.0,High-value
C000118,18,Middle,Independent,Scotland,126,0.40094146919065704,3,35665.0,Mass market
C000119,18,Lower-middle,Independent,Midlands,46,0.21554924786730356,2,27773.0,Mass market
C000120,49,Middle,Salaried,Midlands,106,0.3728378359117048,3,39797.0,Mass market
C000121,40,Middle,Pensioner,London,128,0.35648016703553964,3,44921.0,Mass market
C000122,42,Middle,Independent,Wales,94,0.6291551611401781,3,42181.0,Mass market
C000123,23,Low,Independent,London,54,0.7491118168610802,1,14371.0,Digital-first
C000124,39,Lower-middle,Salaried,North West,101,0.6761612085911111,2,20672.0,Mass market
C000125,63,Low,Salaried,North West,143,0.22003998387514478,1,18757.0,Mature relationship
C000126,49,Middle,Salaried,South East,42,0.6441632156195333,3,51295.0,Mass market
C000127,41,Lower-middle,Salaried,London,104,0.678239574537935,2,28355.0,Mass market
C000128,34,Low,Salaried,London,123,0.09177279591413229,1,20342.0,Mass market
C000129,34,Low,Salaried,South West,59,0.35600124399623134,1,20917.0,Mass market
C000130,18,Middle,Salaried,South East,71,0.59862606472601,3,43793.0,Mass market
C000131,42,Lower-middle,Salaried,London,160,0.33192978697049,2,24351.0,Mass market
C000132,49,Upper-middle,Salaried,North West,67,0.626214098592815,4,63937.0,High-value
C000133,20,Middle,Pensioner,London,108,0.517413592047218,3,50112.0,Mass market
C000134,31,Lower-middle,Salaried,South West,29,0.5696166690103224,2,30374.0,Mass market
C000135,25,Middle,Salaried,London,166,0.7965686633999683,3,47028.0,Digital-first
C000136,27,Low,Salaried,London,108,0.6492610711470278,1,16668.0,Mass market
C000137,40,High,Salaried,London,137,0.2055869598243947,5,91924.0,High-value
C000138,18,Middle,Salaried,South East,109,0.2792780684806769,3,41202.0,Mass market
C000139,46,Upper-middle,Independent,South East,65,0.5228847326245141,4,61491.0,High-value
C000140,48,Low,Pensioner,North West,63,0.25226308119181706,1,21364.0,Mass market
C000141,36,Middle,Salaried,South East,127,0.5028612720395264,3,26227.0,Mass market
C000142,18,Middle,Independent,South East,155,0.49867086336130223,3,42205.0,Mass market
C000143,27,High,Salaried,London,25,0.19349965189031937,5,93792.0,High-value
C000144,54,Middle,Salaried,London,152,0.44409869841706784,3,32784.0,Mass market
C000145,18,Middle,Salaried,Scotland,149,0.3014428307809536,3,46514.0,Mass market
C000146,35,Lower-middle,Salaried,London,22,0.3609732929203095,2,24754.0,Mass market
C000147,25,Lower-middle,Independent,Wales,22,0.48253146643579986,2,26400.0,Mass market
C000148,49,Middle,Independent,London,126,0.6897461145228819,3,54424.0,Digital-first
C000149,31,Lower-middle,Independent,London,152,0.1990303379228701,2,32525.0,Mass market
C000150,44,Low,Salaried,London,72,0.6190606451824194,1,19655.0,Mass market
C000151,46,Upper-middle,Independent,London,116,0.5049385054142936,4,65777.0,High-value
C000152,61,Upper-middle,Salaried,North West,179,0.4573674528296299,4,60366.0,High-value
C000153,37,Low,Salaried,South East,60,0.3529666401631107,1,23758.0,Mass market
C000154,44,Middle,Salaried,London,42,0.4976308732230371,3,47391.0,Mass market
C000155,21,Low,Independent,Midlands,178,0.20874932645126373,1,15841.0,Mass market
C000156,53,Middle,Pensioner,Midlands,52,0.33957241333058374,3,32591.0,Mass market
C000157,30,Lower-middle,Salaried,Scotland,86,0.5933357977799493,2,30539.0,Mass market
C000158,32,Middle,Salaried,Wales,81,0.5119836501001405,3,41625.0,Mass market
C000159,39,Middle,Independent,North West,95,0.5482443185501502,3,32398.0,Mass market
C000160,20,Upper-middle,Contractor,South West,50,0.8981821297393817,4,66252.0,Digital-first
C000161,42,Low,Salaried,North West,123,0.3296148250858407,1,17225.0,Mass market
C000162,51,Upper-middle,Independent,South East,125,0.5609495134125576,4,67264.0,High-value
C000163,43,Lower-middle,Independent,North West,38,0.28314728074285234,2,29979.0,Mass market
C000164,20,Low,Contractor,London,88,0.79911573570669,1,16248.0,Digital-first
C000165,38,Middle,Salaried,North West,13,0.3724058529498394,3,46253.0,Mass market
C000166,48,Lower-middle,Contractor,Wales,42,0.4205837852776958,2,25769.0,Mass market
C000167,18,Upper-middle,Salaried,London,177,0.13128024848364905,4,57706.0,High-value
C000168,26,Upper-middle,Contractor,South West,92,0.5171035997515816,4,56720.0,High-value
C000169,50,Lower-middle,Salaried,Scotland,113,0.18710259721673236,2,33067.0,Mass market
C000170,42,High,Salaried,London,160,0.8060449498308809,5,90735.0,Digital-first
C000171,44,Lower-middle,Salaried,South East,129,0.387509205576104,2,34149.0,Mass market
C000172,61,Middle,Salaried,Scotland,143,0.23831013015300376,3,53985.0,Mature relationship
C000173,45,Lower-middle,Salaried,Wales,129,0.4482792440179376,2,24691.0,Mass market
C000174,47,High,Salaried,London,91,0.3206440780836561,5,50601.0,High-value
C000175,72,Lower-middle,Salaried,South East,114,0.04931646211972493,2,32679.0,Mature relationship
C000176,36,Low,Salaried,North West,54,0.4255625387711772,1,17015.0,Mass market
C000177,29,Lower-middle,Independent,London,160,0.2271509593552001,2,24119.0,Mass market
C000178,44,High,Contractor,London,34,0.43202474444340827,5,86051.0,High-value
C000179,44,Upper-middle,Independent,London,159,0.7337309388021838,4,57885.0,Digital-first
C000180,33,Middle,Salaried,London,158,0.7035458516909754,3,50717.0,Digital-first
C000181,27,Upper-middle,Salaried,Midlands,28,0.6993468294531769,4,63586.0,Digital-first
C000182,67,Upper-middle,Contractor,Midlands,128,0.44531058692644904,4,74733.0,High-value
C000183,43,Middle,Salaried,Midlands,178,0.4366453289176946,3,45321.0,Mass market
C000184,30,Lower-middle,Salaried,North West,104,0.1796587537707477,2,26615.0,Mass market
C000185,50,Upper-middle,Pensioner,South East,63,0.5191106251771614,4,58128.0,High-value
C000186,38,Middle,Pensioner,London,158,0.6948770559296356,3,45774.0,Digital-first
C000187,36,Lower-middle,Salaried,London,93,0.5136814209298245,2,31676.0,Mass market
C000188,46,Low,Independent,London,24,0.8793291666358758,1,20871.0,Digital-first
C000189,23,Middle,Salaried,London,47,0.43285484670759444,3,40242.0,Mass market
C000190,43,Lower-middle,Independent,London,123,0.686063812567446,2,28785.0,Digital-first
C000191,62,High,Salaried,London,83,0.3270371684315854,5,103877.0,High-value
C000192,45,Lower-middle,Salaried,London,41,0.3665254497931166,2,26280.0,Mass market
C000193,34,Low,Independent,Midlands,144,0.3135192438725919,1,14731.0,Mass market
C000194,33,Upper-middle,Salaried,Midlands,24,0.24770620966512302,4,54002.0,High-value
C000195,34,Low,Independent,Scotland,41,0.7312669645246167,1,17306.0,Digital-first
C000196,36,Lower-middle,Salaried,North West,85,0.15867771831076574,2,30967.0,Mass market
C000197,34,Middle,Contractor,Midlands,9,0.21295687758684068,3,50460.0,New customer
C000198,50,Upper-middle,Contractor,London,71,0.8185599759844334,4,48548.0,Digital-first
C000199,18,Lower-middle,Salaried,Midlands,164,0.6792969612549679,2,25324.0,Mass market
C000200,49,Lower-middle,Independent,London,169,0.32433524124706,2,26397.0,Mass market
C000201,34,Upper-middle,Salaried,South East,157,0.5246314847528667,4,69884.0,High-value
C000202,44,High,Salaried,South East,60,0.3706571179300281,5,86973.0,High-value
C000203,25,Middle,Salaried,South East,14,0.6432413025399866,3,39112.0,Mass market
C000204,55,Low,Contractor,London,147,0.2872058568278298,1,13933.0,Mass market
C000205,54,Low,Contractor,North West,69,0.229603480436458,1,19392.0,Mass market
C000206,51,Lower-middle,Contractor,South West,135,0.3595202985692017,2,27277.0,Mass market
C000207,21,Low,Contractor,North West,24,0.7324200387323005,1,16116.0,Digital-first
C000208,49,Middle,Pensioner,Midlands,121,0.15242362940290324,3,40256.0,Mass market
C000209,44,Low,Salaried,Midlands,106,0.6297994822109786,1,21246.0,Mass market
C000210,20,Middle,Pensioner,London,165,0.38248632332697646,3,35247.0,Mass market
C000211,39,Middle,Salaried,North West,21,0.28814636920597736,3,36344.0,Mass market
C000212,43,Middle,Salaried,Midlands,75,0.7271500866648009,3,50415.0,Digital-first
C000213,46,Lower-middle,Salaried,London,178,0.21540233209181822,2,28339.0,Mass market
C000214,41,Upper-middle,Salaried,London,71,0.584666351337342,4,68644.0,High-value
C000215,42,Middle,Salaried,Scotland,119,0.739612745565959,3,44700.0,Digital-first
C000216,57,Middle,Salaried,Midlands,31,0.5188253366630866,3,41763.0,Mass market
C000217,54,Low,Salaried,South East,131,0.8907803431211776,1,16997.0,Digital-first
C000218,18,Low,Salaried,Midlands,51,0.20943273895910317,1,20395.0,Mass market
C000219,35,Upper-middle,Contractor,South East,104,0.2478905355925898,4,73530.0,High-value
C000220,37,Lower-middle,Independent,South East,158,0.5543366920356139,2,32857.0,Mass market
C000221,18,Lower-middle,Salaried,London,120,0.6832465485324408,2,22689.0,Digital-first
C000222,40,Middle,Salaried,South East,86,0.786092909813262,3,50769.0,Digital-first
C000223,54,Middle,Salaried,North West,36,0.7926600626922644,3,39595.0,Digital-first
C000224,26,High,Salaried,London,63,0.5595730954699372,5,83524.0,High-value
C000225,43,Lower-middle,Contractor,North West,153,0.7070069153766856,2,27241.0,Digital-first
C000226,28,Upper-middle,Salaried,London,41,0.14520215995194788,4,70245.0,High-value
C000227,31,Low,Independent,North West,119,0.24434195058899044,1,19557.0,Mass market
C000228,57,Middle,Independent,Midlands,88,0.15337753070077376,3,40284.0,Mass market
C000229,32,Middle,Salaried,Midlands,59,0.4665715332468889,3,47629.0,Mass market
C000230,45,Low,Contractor,Midlands,129,0.5043987324533642,1,18403.0,Mass market
C000231,18,Low,Salaried,Scotland,67,0.20592290486111023,1,16350.0,Mass market
C000232,61,Lower-middle,Contractor,South East,53,0.5591278972913201,2,24828.0,Mature relationship
C000233,46,High,Independent,North West,96,0.3768962104826625,5,101236.0,High-value
C000234,37,Middle,Independent,North West,137,0.4307243167556676,3,41445.0,Mass market
C000235,46,High,Independent,London,155,0.5384443224555473,5,74092.0,High-value
C000236,22,Upper-middle,Contractor,London,114,0.44844946613456266,4,70404.0,High-value
C000237,53,Middle,Pensioner,South East,120,0.42932421868889475,3,38773.0,Mass market
C000238,35,Upper-middle,Salaried,London,142,0.14167615219963153,4,77794.0,High-value
C000239,37,Low,Contractor,South East,50,0.18093911213656683,1,13959.0,Mass market
C000240,33,Low,Independent,South East,47,0.12392482538104892,1,17480.0,Mass market
C000241,32,Upper-middle,Salaried,Midlands,88,0.2568280592047411,4,55056.0,High-value
C000242,47,Upper-middle,Contractor,London,114,0.6738962687752049,4,52324.0,High-value
C000243,42,Lower-middle,Salaried,South West,117,0.29969298021105495,2,25819.0,Mass market
C000244,47,Middle,Salaried,South East,30,0.36428094476755113,3,53898.0,Mass market
C000245,39,Middle,Salaried,North West,141,0.5176532567968861,3,42963.0,Mass market
C000246,45,Upper-middle,Salaried,London,67,0.41561080826666635,4,54146.0,High-value
C000247,34,Middle,Contractor,South East,158,0.30799795532544916,3,29712.0,Mass market
C000248,66,Lower-middle,Salaried,London,131,0.5056525044875342,2,20288.0,Mature relationship
C000249,20,Lower-middle,Salaried,Midlands,176,0.49278493529354006,2,25597.0,Mass market
C000250,54,Lower-middle,Salaried,South East,114,0.6137872477104586,2,25161.0,Mass market
C000251,55,Middle,Salaried,Scotland,96,0.3158027272135961,3,40494.0,Mass market
C000252,29,Upper-middle,Contractor,London,36,0.4168358957085882,4,39460.0,High-value
C000253,66,Middle,Contractor,Midlands,73,0.3779008983374906,3,41384.0,Mature relationship
C000254,51,Lower-middle,Salaried,London,154,0.26294224787870957,2,32604.0,Mass market
C000255,51,Lower-middle,Salaried,Midlands,70,0.0643096332227926,2,35270.0,Mass market
C000256,39,Middle,Salaried,South East,12,0.5150903750918785,3,29269.0,Mass market
C000257,36,Upper-middle,Independent,South East,46,0.6970357329840493,4,54050.0,Digital-first
C000258,36,Low,Salaried,London,108,0.4977587086872792,1,15540.0,Mass market
C000259,44,Low,Salaried,London,114,0.40671698417290547,1,18420.0,Mass market
C000260,56,Middle,Salaried,London,177,0.2779790104182888,3,33803.0,Mass market
C000261,41,Low,Independent,Wales,168,0.6871177136102565,1,22845.0,Digital-first
C000262,28,Upper-middle,Salaried,South East,97,0.11717474271948286,4,62432.0,High-value
C000263,49,Lower-middle,Salaried,London,101,0.6643190967361313,2,27448.0,Mass market
C000264,50,Low,Contractor,Scotland,144,0.7003968565519463,1,22587.0,Digital-first
C000265,47,Upper-middle,Independent,London,11,0.3982702107514336,4,61841.0,New customer
C000266,48,Lower-middle,Salaried,South East,108,0.24909820008776992,2,29793.0,Mass market
C000267,36,Lower-middle,Contractor,North West,86,0.5529003079756104,2,24636.0,Mass market
C000268,28,Low,Contractor,Scotland,141,0.5616574430845716,1,14053.0,Mass market
C000269,29,Low,Salaried,North West,144,0.4939235544111196,1,16242.0,Mass market
C000270,19,Low,Independent,South East,119,0.11877249229739126,1,24298.0,Mass market
C000271,42,Low,Salaried,Wales,119,0.7094618527864751,1,19823.0,Digital-first
C000272,38,Lower-middle,Independent,London,125,0.3582858278354136,2,29230.0,Mass market
C000273,34,Low,Salaried,Wales,105,0.5770460173175789,1,15188.0,Mass market
C000274,18,Middle,Independent,South West,43,0.08450545895702839,3,48124.0,Mass market
C000275,24,Middle,Salaried,Scotland,53,0.12913891209873984,3,32876.0,Mass market
C000276,52,Lower-middle,Salaried,London,134,0.17867700653455768,2,20980.0,Mass market
C000277,31,Lower-middle,Pensioner,London,112,0.615309244793932,2,25496.0,Mass market
C000278,43,Middle,Salaried,Midlands,45,0.7087358479055008,3,55134.0,Digital-first
C000279,22,Upper-middle,Contractor,South East,158,0.11894291189453363,4,80827.0,High-value
C000280,56,Upper-middle,Pensioner,South East,176,0.49434274306957643,4,57524.0,High-value
C000281,37,Low,Contractor,Scotland,113,0.7380733530778648,1,16058.0,Digital-first
C000282,42,Lower-middle,Salaried,Midlands,43,0.0743834940439449,2,20651.0,Mass market
C000283,67,Lower-middle,Contractor,London,169,0.7072868924158257,2,28350.0,Digital-first
C000284,57,Lower-middle,Salaried,South East,44,0.031848365481451216,2,28726.0,Mass market
C000285,35,Middle,Salaried,London,79,0.41420823010650965,3,47306.0,Mass market
C000286,32,Lower-middle,Contractor,London,154,0.29014380013148505,2,32080.0,Mass market
C000287,35,Low,Independent,London,95,0.3626260452562903,1,17431.0,Mass market
C000288,45,Lower-middle,Salaried,South West,46,0.4704419753625795,2,30491.0,Mass market
C000289,38,Middle,Salaried,North West,17,0.6207306106515964,3,37292.0,Mass market
C000290,34,Low,Contractor,Midlands,66,0.7359722149762403,1,19547.0,Digital-first
C000291,57,Upper-middle,Independent,South East,121,0.6150785003604513,4,56968.0,High-value
C000292,38,Low,Salaried,Midlands,129,0.4071637651698606,1,19323.0,Mass market
C000293,67,Upper-middle,Contractor,South West,42,0.21546682703189096,4,65755.0,High-value
C000294,40,Low,Salaried,South West,31,0.36882156073183325,1,18198.0,Mass market
C000295,60,Upper-middle,Salaried,Midlands,127,0.24260892704627843,4,69882.0,High-value
C000296,43,Upper-middle,Independent,South West,31,0.5246779482715986,4,46422.0,High-value
C000297,51,High,Pensioner,South East,14,0.12959742608650343,5,78813.0,High-value
C000298,30,Upper-middle,Salaried,South East,89,0.3622126131836581,4,59321.0,High-value
C000299,29,Upper-middle,Salaried,South West,104,0.28207493309771436,4,47683.0,High-value
C000300,45,Middle,Salaried,South East,46,0.5509711262747625,3,39266.0,Mass market
C000301,51,Upper-middle,Contractor,South East,40,0.7641591561612765,4,58284.0,Digital-first
C000302,39,Low,Salaried,London,44,0.45822200141239033,1,21772.0,Mass market
C000303,24,Middle,Salaried,South East,63,0.33807729248304097,3,42958.0,Mass market
C000304,23,Middle,Pensioner,Midlands,4,0.7651664976348492,3,48918.0,New customer
C000305,22,Upper-middle,Salaried,Midlands,5,0.43164977741657723,4,64993.0,New customer
C000306,18,Middle,Salaried,South East,68,0.25908527709214624,3,38400.0,Mass market
C000307,40,Lower-middle,Salaried,London,6,0.20624231227009862,2,28599.0,New customer
C000308,53,Middle,Contractor,South West,59,0.35405594291157505,3,46902.0,Mass market
C000309,39,Lower-middle,Salaried,South East,105,0.5714114752959442,2,33346.0,Mass market
C000310,18,Low,Salaried,Scotland,8,0.40417976844781056,1,17619.0,New customer
C000311,37,Middle,Salaried,London,112,0.2394373782384451,3,30929.0,Mass market
C000312,37,Lower-middle,Independent,Midlands,112,0.32494587359872207,2,20304.0,Mass market
C000313,64,Lower-middle,Independent,Midlands,104,0.6790760849676116,2,26538.0,Mature relationship
C000314,22,Lower-middle,Salaried,South West,113,0.6156009812746298,2,17526.0,Mass market
C000315,34,Lower-middle,Salaried,London,146,0.4244351348306244,2,36042.0,Mass market
C000316,59,Lower-middle,Contractor,Scotland,15,0.4942552203850001,2,30674.0,Mature relationship
C000317,44,Lower-middle,Salaried,Midlands,32,0.6112188141685148,2,25152.0,Mass market
C000318,46,Middle,Salaried,Midlands,59,0.3625019896896371,3,34543.0,Mass market
C000319,40,Lower-middle,Salaried,South East,124,0.46527103367708444,2,32606.0,Mass market
C000320,43,High,Salaried,London,157,0.48069285476108,5,78073.0,High-value
C000321,48,Upper-middle,Salaried,South East,165,0.7225467331612662,4,51899.0,Digital-first
C000322,29,Middle,Salaried,London,106,0.7972927929022149,3,36853.0,Digital-first
C000323,50,Lower-middle,Salaried,South East,75,0.08978938604447442,2,28511.0,Mass market
C000324,23,Middle,Salaried,Midlands,75,0.29340319190050973,3,46172.0,Mass market
C000325,43,Upper-middle,Independent,South East,13,0.26333971876430096,4,73831.0,High-value
C000326,41,Middle,Salaried,London,85,0.6601981140984632,3,49022.0,Mass market
C000327,32,Upper-middle,Salaried,London,93,0.5661187843602831,4,62008.0,High-value
C000328,39,Middle,Contractor,London,39,0.48094317758511335,3,48858.0,Mass market
C000329,32,Middle,Salaried,London,138,0.5746581341176871,3,37491.0,Mass market
C000330,26,Lower-middle,Independent,Midlands,146,0.9179610538440139,2,19843.0,Digital-first
