customer_id,recommendation_month,recommended_action,advisor_action,contacted_flag,accepted_offer_flag,control_group_flag,outcome_1m,outcome_3m
C000740,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,excluded
C001102,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,pending,not_converted
C000909,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,1,0,no_response,converted
C001167,2025-06-30,CONTROL_NO_CONTACT,No contact,0,0,1,no_response,not_converted
C000937,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,not_converted
C000372,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,accepted,not_converted
C000890,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,0,0,accepted,excluded
C000157,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,accepted,not_converted
C000992,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,accepted,not_converted
C000622,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,converted
C001038,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,converted
C000245,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,excluded
C000159,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,converted
C000746,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,1,0,declined,not_converted
C000193,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,1,0,accepted,not_converted
C000534,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,declined,not_converted
C000904,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,not_converted
C001004,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,accepted,converted
C001070,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,not_converted
C000414,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,pending,not_converted
C001187,2025-06-30,CONTROL_NO_CONTACT,No contact,0,0,1,no_response,not_converted
C000328,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,pending,not_converted
C000129,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,not_converted
C000695,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,accepted,converted
C000631,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,converted
C000275,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,0,0,accepted,not_converted
C001148,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,not_converted
C000309,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,0,0,no_response,converted
C000234,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,converted
C001048,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,1,0,no_response,converted
C000623,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,0,0,no_response,converted
C000644,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,pending,not_converted
C000479,2025-06-30,CONTROL_NO_CONTACT,No contact,0,0,1,no_response,converted
C000472,2025-06-30,CONTROL_NO_CONTACT,No contact,0,1,1,declined,excluded
C000926,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,not_converted
C001098,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,0,0,declined,excluded
C000627,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,1,0,pending,not_converted
C000395,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,1,0,no_response,not_converted
C000637,2025-06-30,C_DIGITAL_ONBOARDING_NUDGE,Contacted,1,0,0,no_response,excluded
C000768,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,pending,not_converted
C000533,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,pending,not_converted
C000718,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,no_response,not_converted
C000667,2025-06-30,CONTROL_NO_CONTACT,No contact,0,0,1,pending,not_converted
C000598,2025-06-30,B_VALUE_AND_BENEFITS_MESSAGE,Contacted,1,0,0,accepted,not_converted
C000482,2025-06-30,A_AFFORDABILITY_REVIEW,Contacted,1,1,0,no_response,converted
